GeneID	interaction.padj	earlySig	middleSig	lateSig	RegulationOnDS	CNV_SW	GWAS_min_pvalue	1k_min_pvalue
GRMZM2G037505	0.805744727	no	no	no	NA	DownCNV/PAV	0.50407779	0.50407779
GRMZM2G037545	0.000658371	no	no	no	others	noCNV	0.396531718	0.396531718
GRMZM2G037574	0.422625881	no	no	no	NA	noCNV	0.234113728	0.234113728
GRMZM2G037585	0.001677003	no	no	no	UpOnDS	noCNV	0.075488894	0.075488894
GRMZM2G037614	1.62E-05	yes	yes	no	others	noCNV	0.06767453	0.06767453
GRMZM2G037617	0.253979225	no	no	no	NA	noCNV	NA	NA
GRMZM2G037624	0.020253267	no	no	yes	UpOnDS	noCNV	0.41693721	0.41693721
GRMZM2G037627	0.259190264	no	no	no	NA	noCNV	0.113511506	0.113511506
GRMZM2G037644	0.16970358	no	no	no	NA	noCNV	0.32228271	0.32228271
GRMZM2G037650	0.070154745	no	no	no	NA	noCNV	0.19924761	0.19924761
GRMZM2G037655	0.35016107	no	no	no	NA	noCNV	0.192512387	0.192512387
GRMZM2G037683	0.925180353	no	no	no	NA	noCNV	0.492754251	0.492754251
GRMZM2G037685	0.000218588	no	yes	no	UpOnDS	noCNV	0.050603989	0.050603989
GRMZM2G037694	0.742913374	no	no	no	NA	noCNV	0.127224566	0.127224566
GRMZM2G037698	0.547678619	no	no	no	NA	noCNV	0.014282964	0.014282964
GRMZM2G037725	0.167631368	no	no	no	NA	noCNV	NA	NA
GRMZM2G037743	0.871335805	no	no	no	NA	noCNV	0.123699694	0.123699694
GRMZM2G037781	0.579524929	no	no	no	NA	noCNV	0.613720592	0.613720592
GRMZM2G037792	0.822948909	no	no	no	NA	noCNV	0.092167795	0.092167795
GRMZM2G037823	0.115714509	no	no	no	NA	noCNV	0.006182413	0.006182413
GRMZM2G037831	0.136469826	no	no	no	NA	noCNV	0.102656848	0.102656848
GRMZM2G037865	7.91E-10	no	no	no	DownOnDS	noCNV	0.015969536	0.015969536
GRMZM2G037867	0.154544859	no	no	no	NA	noCNV	0.03199909	0.03199909
GRMZM2G037875	0.199244724	no	no	no	NA	noCNV	0.035884224	0.035884224
GRMZM2G037882	0.124114324	no	no	no	NA	noCNV	0.047996582	0.047996582
GRMZM2G037923	0.003098397	no	yes	no	DownOnDS	noCNV	0.045998918	0.045998918
GRMZM2G037926	1.34E-10	no	yes	no	UpOnDS	noCNV	0.192395736	0.192395736
GRMZM2G037941	0.497386127	no	no	no	NA	noCNV	0.420636025	0.420636025
GRMZM2G037993	0.349739584	no	no	no	NA	DownCNV/PAV	0.24475453	0.24475453
GRMZM2G037998	0.285501711	no	no	no	NA	noCNV	0.054703876	0.054703876
GRMZM2G038003	0.159432127	no	no	no	NA	DownCNV/PAV	0.404507651	0.404507651
GRMZM2G038019	0.149920771	no	no	no	NA	DownCNV/PAV	0.120495365	0.120495365
GRMZM2G038032	0.770885724	no	no	no	NA	noCNV	0.140433223	0.140433223
GRMZM2G038034	0.884087079	no	no	no	NA	DownCNV/PAV	NA	NA
GRMZM2G038050	0.127223153	no	no	no	NA	noCNV	0.029607111	0.029607111
GRMZM2G038066	0.18026797	no	no	no	NA	noCNV	0.227321974	0.227321974
GRMZM2G038073	1.03E-25	yes	no	yes	others	noCNV	0.020891866	0.020891866
GRMZM2G038075	0.294493069	no	no	no	NA	noCNV	0.066313267	0.066313267
GRMZM2G038082	0.032026663	no	no	no	others	noCNV	0.229041041	0.229041041
GRMZM2G038108	0.518762561	no	no	no	NA	noCNV	0.158530447	0.158530447
GRMZM2G038126	0.00631531	no	no	no	DownOnDS	noCNV	0.492786168	0.492786168
GRMZM2G038152	7.85E-06	no	no	no	DownOnDS	DownCNV/PAV	0.124777478	0.124777478
GRMZM2G038153	1.41E-15	no	no	yes	DownOnDS	noCNV	0.039028601	0.004997062
GRMZM2G038158	0.431363019	no	no	no	NA	noCNV	0.208980962	0.208980962
GRMZM2G038162	0.801538658	no	no	no	NA	noCNV	0.065596945	0.065596945
GRMZM2G038183	0.025254025	yes	no	no	others	noCNV	0.090867372	0.090867372
GRMZM2G038195	0.863190154	no	no	no	NA	noCNV	0.051885747	0.051885747
GRMZM2G038217	8.24E-06	no	no	yes	DownOnDS	noCNV	0.000100449	0.000100449
GRMZM2G038243	0.000124073	no	no	yes	DownOnDS	noCNV	0.024660495	0.024660495
GRMZM2G038279	0.007570898	no	no	no	DownOnDS	noCNV	0.371198523	0.371198523
GRMZM2G038281	0.490393499	no	no	no	NA	noCNV	0.038432387	0.013569712
GRMZM2G038284	1.82E-06	no	no	yes	UpOnDS	DownCNV/PAV	0.00759043	0.00759043
GRMZM2G038301	0.010107477	no	yes	no	UpOnDS	noCNV	0.067844169	0.067844169
GRMZM2G038303	0.214955431	no	no	no	NA	noCNV	0.088166029	0.088166029
GRMZM2G038309	0.003361277	no	no	no	UpOnDS	noCNV	0.145209614	0.145209614
GRMZM2G038313	0.509248123	no	no	no	NA	noCNV	0.027055718	0.027055718
GRMZM2G038335	0.359907072	no	no	no	NA	noCNV	0.145380422	0.145380422
GRMZM2G038338	0.244742231	no	no	no	NA	noCNV	0.358073977	0.088166029
GRMZM2G038356	0.004043914	no	no	no	DownOnDS	noCNV	0.247296088	0.247296088
GRMZM2G038365	0.019593744	no	no	yes	DownOnDS	noCNV	0.122690256	0.122690256
GRMZM2G038374	0.217018968	no	no	no	NA	noCNV	0.050204476	0.050204476
GRMZM2G038375	0.186267686	no	no	no	NA	noCNV	0.410948372	0.337049854
GRMZM2G038384	0.967689293	no	no	no	NA	noCNV	0.065443635	0.065443635
GRMZM2G038388	0.160527195	no	no	no	NA	DownCNV/PAV	0.413356119	0.413356119
GRMZM2G038394	0.363986559	no	no	no	NA	noCNV	0.057124217	0.057124217
GRMZM2G038401	0.573308372	no	no	no	NA	noCNV	0.155581971	0.155581971
GRMZM2G038412	0.008733213	no	no	no	UpOnDS	noCNV	0.023795478	0.023795478
GRMZM2G038436	0.00061417	no	no	no	others	noCNV	NA	NA
GRMZM2G038449	0.015224752	no	no	no	others	noCNV	NA	0.282572597
GRMZM2G038485	0.418718281	no	no	no	NA	noCNV	0.162418021	0.162418021
GRMZM2G038487	0.559204323	no	no	no	NA	noCNV	0.161234244	0.161234244
GRMZM2G038490	0.377629188	no	no	no	NA	noCNV	NA	NA
GRMZM2G038492	0.024527517	no	no	no	others	UpCNV	NA	NA
GRMZM2G038494	0.061880536	no	no	no	NA	noCNV	0.135314724	0.135314724
GRMZM2G038497	0.524032964	no	no	no	NA	noCNV	0.66189742	0.66189742
GRMZM2G038501	0.453539454	no	no	no	NA	DownCNV/PAV	NA	NA
GRMZM2G038512	0.008217111	no	yes	no	others	noCNV	0.000556313	0.000556313
GRMZM2G038519	0.036682106	no	no	yes	DownOnDS	noCNV	0.044188147	0.044188147
GRMZM2G038532	0.225069592	no	no	no	NA	noCNV	0.172120639	0.172120639
GRMZM2G038536	0.005137282	no	yes	no	others	noCNV	0.01402008	0.01402008
GRMZM2G038588	0.739407584	no	no	no	NA	noCNV	0.052302376	0.052302376
GRMZM2G038598	7.28E-11	no	yes	no	others	noCNV	0.006671982	0.006671982
GRMZM2G038606	0.002518692	no	no	no	DownOnDS	noCNV	0.049724474	0.039845399
GRMZM2G038623	0.53755805	no	no	no	NA	noCNV	0.310970407	0.310970407
GRMZM2G038636	0.117355534	no	no	no	NA	noCNV	0.108916326	0.108916326
GRMZM2G038640	0.565171336	no	no	no	NA	noCNV	0.082024097	0.082024097
GRMZM2G038667	0.070555378	no	no	no	NA	noCNV	0.001462183	0.001462183
GRMZM2G038669	0.102525393	no	no	no	NA	noCNV	NA	0.130079143
GRMZM2G038691	0.873441355	no	no	no	NA	noCNV	0.150205047	0.150205047
GRMZM2G038722	0.287795626	no	no	no	NA	noCNV	0.47824842	0.47824842
GRMZM2G038730	0.915403084	no	no	no	NA	noCNV	0.559176887	0.013503
GRMZM2G038780	7.65E-06	no	no	yes	DownOnDS	noCNV	NA	0.644590674
GRMZM2G038783	0.037611771	no	yes	no	UpOnDS	noCNV	0.104043418	0.104043418
GRMZM2G038791	0.327428169	no	no	no	NA	noCNV	0.295052495	0.295052495
GRMZM2G038801	0.712986636	no	no	no	NA	noCNV	0.03832136	0.03832136
GRMZM2G038820	0.057603027	no	no	no	NA	noCNV	0.011798576	0.011798576
GRMZM2G038821	0.00130399	no	no	no	UpOnDS	noCNV	0.022950537	0.022950537
GRMZM2G038833	0.05176659	no	no	no	NA	noCNV	0.163501824	0.163501824
GRMZM2G038835	0.052355771	no	no	no	NA	noCNV	NA	0.188802956
GRMZM2G038839	0.457300845	no	no	no	NA	noCNV	0.100698083	0.100698083
GRMZM2G038846	0.002666004	no	no	no	DownOnDS	noCNV	0.233934698	0.233934698
GRMZM2G038848	0.250319127	no	no	no	NA	noCNV	0.137725659	0.137725659
GRMZM2G038855	0.558766098	no	no	no	NA	noCNV	0.017473683	0.017473683
GRMZM2G038880	0.149886594	no	no	no	NA	noCNV	0.024864262	0.024864262
GRMZM2G038882	0.996999783	no	no	no	NA	noCNV	0.086073301	0.086073301
GRMZM2G038893	0.354318051	no	no	no	NA	noCNV	0.154173395	0.154173395
GRMZM2G038898	1.36E-07	no	yes	no	UpOnDS	noCNV	0.010799033	0.010799033
GRMZM2G038922	0.112172627	no	no	no	NA	noCNV	0.031524996	0.031524996
GRMZM2G038926	0.665802953	no	no	no	NA	noCNV	NA	NA
GRMZM2G038928	0.588524862	no	no	no	NA	noCNV	0.021419952	0.021419952
GRMZM2G038931	0.012502417	no	no	no	DownOnDS	noCNV	0.06197376	0.06197376
GRMZM2G038934	0.057792392	no	no	no	NA	noCNV	0.879306252	0.879306252
GRMZM2G038950	0.735331293	no	no	no	NA	noCNV	0.300555861	0.300555861
GRMZM2G038953	0.272853986	no	no	no	NA	noCNV	0.120713108	0.120713108
GRMZM2G038964	2.46E-05	no	no	no	DownOnDS	noCNV	0.130431594	0.130431594
GRMZM2G038967	0.756745193	no	no	no	NA	noCNV	0.016597343	0.016597343
GRMZM2G038973	0.048136558	no	no	no	DownOnDS	noCNV	0.044852298	0.044852298
GRMZM2G038982	1.00E-05	no	no	no	UpOnDS	noCNV	0.090755701	0.058412883
GRMZM2G038988	0.191474694	no	no	no	NA	noCNV	0.2666225	0.2666225
GRMZM2G038991	0.752512127	no	no	no	NA	noCNV	0.172095554	0.172095554
GRMZM2G039011	0.842698925	no	no	no	NA	noCNV	0.009156567	0.009156567
GRMZM2G039029	1.02E-05	no	no	no	UpOnDS	noCNV	0.035473493	0.035473493
GRMZM2G039036	0.051228853	no	no	no	NA	DownCNV/PAV	0.388985562	0.388985562
GRMZM2G039074	7.98E-06	no	no	no	others	noCNV	NA	0.351175929
GRMZM2G039089	0.60846824	no	no	no	NA	noCNV	0.380727031	0.380727031
GRMZM2G039094	0.357331457	no	no	no	NA	noCNV	0.043522433	0.043522433
GRMZM2G039106	0.004715665	no	no	yes	UpOnDS	noCNV	0.013957589	0.013957589
GRMZM2G039113	0.322890104	no	no	no	NA	noCNV	0.209670758	0.209670758
GRMZM2G039155	2.35E-12	no	no	no	DownOnDS	noCNV	0.158246844	0.158246844
GRMZM2G039173	0.477035847	no	no	no	NA	noCNV	NA	0.103951279
GRMZM2G039186	1.37E-07	no	no	no	UpOnDS	noCNV	0.1056809	0.1056809
GRMZM2G039187	0.763832418	no	no	no	NA	noCNV	NA	NA
GRMZM2G039214	0.422023099	no	no	no	NA	noCNV	0.759674668	0.759674668
GRMZM2G039238	0.725246064	no	no	no	NA	noCNV	0.043856139	0.043856139
GRMZM2G039246	0.433670122	no	no	no	NA	noCNV	0.047225564	0.047225564
GRMZM2G039251	6.13E-06	no	no	no	DownOnDS	noCNV	0.036397366	0.036397366
GRMZM2G039254	0.872546965	no	no	no	NA	noCNV	0.412803744	0.412803744
GRMZM2G039263	0.111795544	no	no	no	NA	noCNV	0.005522569	0.005522569
GRMZM2G039278	1.49E-13	no	no	yes	DownOnDS	noCNV	0.131437644	0.131437644
GRMZM2G039280	2.97E-05	no	no	no	DownOnDS	noCNV	0.147881279	0.147881279
GRMZM2G039312	0.529572575	no	no	no	NA	noCNV	NA	NA
GRMZM2G039322	0.305342179	no	no	no	NA	DownCNV/PAV	0.049597715	0.049597715
GRMZM2G039325	0.471972863	no	no	no	NA	noCNV	0.051544371	0.051544371
GRMZM2G039345	0.601951852	no	no	no	NA	noCNV	0.215067504	0.215067504
GRMZM2G039359	0.470499854	no	no	no	NA	noCNV	NA	NA
GRMZM2G039362	9.27E-05	yes	yes	yes	others	noCNV	0.281995606	0.281995606
GRMZM2G039365	0.203542555	no	no	no	NA	noCNV	0.09972953	0.09972953
GRMZM2G039373	0.580759702	no	no	no	NA	noCNV	0.052816913	0.052816913
GRMZM2G039383	0.000609145	no	no	no	others	noCNV	NA	NA
GRMZM2G039385	0.827264963	no	no	no	NA	noCNV	0.006878903	0.006878903
GRMZM2G039396	0.473679387	no	no	no	NA	noCNV	0.037480639	0.037480639
GRMZM2G039399	0.818401822	no	no	no	NA	noCNV	0.002013793	0.002013793
GRMZM2G039419	0.002484745	no	no	no	DownOnDS	noCNV	0.215637378	0.215637378
GRMZM2G039431	0.270080361	no	no	no	NA	noCNV	0.433444545	0.433444545
GRMZM2G039443	0.000138263	no	no	no	UpOnDS	noCNV	NA	NA
GRMZM2G039445	0.904205254	no	no	no	NA	noCNV	0.177425413	0.177425413
GRMZM2G039454	0.217364819	no	no	no	NA	noCNV	0.019984723	0.019984723
GRMZM2G039455	0.445448148	no	no	no	NA	noCNV	0.1192599	0.1192599
GRMZM2G039463	0.330579006	no	no	no	NA	DownCNV/PAV	NA	NA
GRMZM2G039477	2.67E-23	no	yes	yes	others	DownCNV/PAV	0.030233616	0.030233616
GRMZM2G039505	0.043173074	no	no	no	UpOnDS	noCNV	0.057305933	0.057305933
GRMZM2G039520	0.16068437	no	no	no	NA	DownCNV/PAV	0.330654872	0.330654872
GRMZM2G039525	0.857499137	no	no	no	NA	noCNV	0.118504485	0.118504485
GRMZM2G039532	0.223927711	no	no	no	NA	noCNV	0.083560881	0.083560881
GRMZM2G039536	0.896713939	no	no	no	NA	noCNV	0.45019343	0.07332866
GRMZM2G039542	0.200619487	no	no	no	NA	noCNV	0.038805094	0.038805094
GRMZM2G039577	6.56E-05	no	no	no	DownOnDS	noCNV	0.277486362	0.277486362
GRMZM2G039580	0.872684145	no	no	no	NA	DownCNV/PAV	0.385398744	0.385398744
GRMZM2G039583	0.389040127	no	no	no	NA	noCNV	0.084144633	0.084144633
GRMZM2G039586	0.159543296	no	no	no	NA	noCNV	0.524877458	0.524877458
GRMZM2G039588	0.261248414	no	no	no	NA	noCNV	0.088698294	0.088698294
GRMZM2G039592	0.004096356	no	no	no	DownOnDS	noCNV	0.078338278	0.078338278
GRMZM2G039600	0.000278284	no	no	no	UpOnDS	noCNV	0.07332866	0.07332866
GRMZM2G039618	0.813902358	no	no	no	NA	noCNV	0.057305933	0.057305933
GRMZM2G039622	0.00818843	no	no	no	DownOnDS	noCNV	0.302448083	0.302448083
GRMZM2G039630	0.001678751	no	no	yes	DownOnDS	DownCNV/PAV	0.496515677	0.496515677
GRMZM2G039639	0.003848265	no	yes	no	others	noCNV	0.009303565	0.009303565
GRMZM2G039650	0.077431011	no	no	no	NA	noCNV	0.293994286	0.293994286
GRMZM2G039671	0.141301853	no	no	no	NA	noCNV	0.543996844	0.348339632
GRMZM2G039683	0.511876442	no	no	no	NA	noCNV	0.044558349	0.018480149
GRMZM2G039711	0.024070514	no	no	no	DownOnDS	noCNV	0.16714199	0.16714199
GRMZM2G039725	0.796132035	no	no	no	NA	noCNV	0.071290318	0.071290318
GRMZM2G039746	0.982039286	no	no	no	NA	noCNV	0.183803179	0.183803179
GRMZM2G039757	0.015335682	no	yes	no	UpOnDS	noCNV	0.002693393	0.002693393
GRMZM2G039792	0.191299062	no	no	no	NA	noCNV	0.018480149	0.003239734
GRMZM2G039797	0.0005251	no	no	no	UpOnDS	noCNV	0.036089755	0.036089755
GRMZM2G039811	0.273620679	no	no	no	NA	noCNV	0.055671707	0.055671707
GRMZM2G039824	0.424301958	no	no	no	NA	noCNV	0.280449601	0.280449601
GRMZM2G039826	0.250919694	no	no	no	NA	noCNV	0.078663964	0.078663964
GRMZM2G039828	0.158792393	no	no	no	NA	noCNV	0.004099556	0.004099556
GRMZM2G039841	0.163133891	no	no	no	NA	noCNV	0.070754469	0.04964784
GRMZM2G039845	0.023709161	no	no	no	others	noCNV	0.032185905	0.032185905
GRMZM2G039848	0.947579998	no	no	no	NA	noCNV	0.14829175	0.002058616
GRMZM2G039855	0.755907664	no	no	no	NA	noCNV	0.066923473	0.066923473
GRMZM2G039857	0.087579128	no	no	no	NA	noCNV	0.032540885	0.032540885
GRMZM2G039864	0.274195322	no	no	no	NA	DownCNV/PAV	0.623620632	0.623620632
GRMZM2G039867	0.521693536	no	no	no	NA	noCNV	0.000951001	0.000951001
GRMZM2G039870	0.089572184	no	no	no	NA	noCNV	NA	0.271606297
GRMZM2G039880	0.572250926	no	no	no	NA	noCNV	NA	NA
GRMZM2G039886	0.000161551	no	no	no	UpOnDS	noCNV	0.006370325	0.006370325
GRMZM2G039889	0.804237503	no	no	no	NA	noCNV	0.305216999	0.305216999
GRMZM2G039895	0.468066885	no	no	no	NA	noCNV	0.246575732	0.175209254
GRMZM2G039900	0.201963176	no	no	no	NA	noCNV	0.033674768	0.033674768
GRMZM2G039906	0.972726441	no	no	no	NA	noCNV	0.090157492	0.090157492
GRMZM2G039919	5.54E-09	no	yes	no	DownOnDS	noCNV	0.071085854	0.071085854
GRMZM2G039922	0.146832013	no	no	no	NA	noCNV	0.034669246	0.034669246
GRMZM2G039930	0.227364719	no	no	no	NA	noCNV	0.057678434	0.057678434
GRMZM2G039934	0.00029753	no	yes	no	DownOnDS	noCNV	0.417808042	0.417808042
GRMZM2G039948	0.233430767	no	no	no	NA	noCNV	NA	NA
GRMZM2G039949	0.264883059	no	no	no	NA	noCNV	NA	NA
GRMZM2G039954	0.524493337	no	no	no	NA	noCNV	0.262290186	0.262290186
GRMZM2G039961	0.461529439	no	no	no	NA	noCNV	0.561903663	0.561903663
GRMZM2G039969	0.007682046	no	no	yes	others	DownCNV/PAV	NA	NA
GRMZM2G039978	0.461371714	no	no	no	NA	DownCNV/PAV	NA	0.030107257
GRMZM2G039982	0.36147961	no	no	no	NA	noCNV	0.072969154	0.072969154
GRMZM2G039983	1.06E-08	no	no	yes	DownOnDS	noCNV	0.089556129	0.089556129
GRMZM2G039988	0.000445245	no	yes	yes	others	noCNV	0.351946626	0.351946626
GRMZM2G039993	1.67E-06	no	no	no	others	noCNV	0.032351117	0.032351117
GRMZM2G039996	0.012381719	no	no	yes	DownOnDS	noCNV	0.162862261	0.162862261
GRMZM2G040017	0.046818249	no	no	no	DownOnDS	noCNV	0.043969344	0.043969344
GRMZM2G040030	0.708588031	no	no	no	NA	noCNV	0.030107257	0.030107257
GRMZM2G040033	0.003410251	no	yes	no	others	noCNV	0.175209254	0.175209254
GRMZM2G040069	0.136897114	no	no	no	NA	noCNV	0.15589221	0.15589221
GRMZM2G040078	0.477928787	no	no	no	NA	noCNV	0.053318922	0.010524811
GRMZM2G040079	0.460533926	no	no	no	NA	noCNV	0.266489957	0.266489957
GRMZM2G040090	0.477906952	no	no	no	NA	noCNV	0.084007879	0.084007879
GRMZM2G040094	0.336205737	no	no	no	NA	noCNV	0.003908037	0.003908037
GRMZM2G040095	0.099409363	no	no	no	NA	noCNV	0.020418976	0.020418976
GRMZM2G040102	0.165361542	no	no	no	NA	noCNV	0.036399126	0.036399126
GRMZM2G040115	0.000659963	no	no	yes	UpOnDS	noCNV	0.000976051	0.000976051
GRMZM2G040117	0.034240709	no	yes	no	others	noCNV	NA	NA
GRMZM2G040121	0.016276914	no	yes	no	others	noCNV	0.23360794	0.23360794
GRMZM2G040131	0.959756973	no	no	no	NA	noCNV	0.279528413	0.279528413
GRMZM2G040145	0.453825634	no	no	no	NA	noCNV	0.078164694	0.078164694
GRMZM2G040158	0.805434503	no	no	no	NA	noCNV	0.134944025	0.134944025
GRMZM2G040161	0.687354548	no	no	no	NA	noCNV	0.367852606	0.118655771
GRMZM2G040164	0.21151433	no	no	no	NA	noCNV	0.281902665	0.266053259
GRMZM2G040182	0.051372369	no	no	no	NA	noCNV	0.440520609	0.440520609
GRMZM2G040207	0.438714252	no	no	no	NA	noCNV	0.502050214	0.502050214
GRMZM2G040209	0.28733682	no	no	no	NA	noCNV	0.156859552	0.156859552
GRMZM2G040230	0.164633307	no	no	no	NA	noCNV	0.005197288	0.005197288
GRMZM2G040247	0.006589519	no	no	no	UpOnDS	noCNV	0.017900464	0.017900464
GRMZM2G040268	0.422371687	no	no	no	NA	noCNV	0.211507823	0.211507823
GRMZM2G040278	0.278334145	no	no	no	NA	noCNV	NA	NA
GRMZM2G040296	0.991304466	no	no	no	NA	noCNV	0.40554767	0.40554767
GRMZM2G040298	0.002416754	no	yes	yes	others	noCNV	0.024654806	0.024654806
GRMZM2G040300	0.788950882	no	no	no	NA	noCNV	0.171721832	0.171721832
GRMZM2G040309	0.257155806	no	no	no	NA	noCNV	0.019893971	0.019893971
GRMZM2G040320	0.763834581	no	no	no	NA	noCNV	0.088082082	0.088082082
GRMZM2G040326	0.837176727	no	no	no	NA	noCNV	0.167692854	0.167692854
GRMZM2G040349	0.064859624	no	no	no	NA	noCNV	0.041827907	0.041827907
GRMZM2G040359	0.083552699	no	no	no	NA	noCNV	0.210622001	0.025999914
GRMZM2G040369	0.015709107	no	no	no	UpOnDS	noCNV	0.248846294	0.248846294
GRMZM2G040382	0.398469235	no	no	no	NA	noCNV	0.00181766	0.00181766
GRMZM2G040387	0.521523588	no	no	no	NA	noCNV	0.15241104	0.15241104
GRMZM2G040389	0.000175703	no	yes	no	DownOnDS	noCNV	0.286817579	0.286817579
GRMZM2G040397	0.212586402	no	no	no	NA	noCNV	0.011476565	0.011476565
GRMZM2G040401	1.28E-05	no	no	yes	UpOnDS	noCNV	0.273439029	0.273439029
GRMZM2G040424	0.034537479	no	no	no	DownOnDS	noCNV	0.263688087	0.263688087
GRMZM2G040441	0.235633085	no	no	no	NA	noCNV	0.068892094	0.068892094
GRMZM2G040452	0.000106021	no	yes	no	others	DownCNV/PAV	0.084958369	0.084958369
GRMZM2G040453	0.94581527	no	no	no	NA	noCNV	0.014225711	0.014225711
GRMZM2G040467	0.943378054	no	no	no	NA	noCNV	0.212031076	0.212031076
GRMZM2G040477	0.007738754	no	no	no	UpOnDS	noCNV	0.145358488	0.145358488
GRMZM2G040481	0.993908067	no	no	no	NA	noCNV	0.219700804	0.219700804
GRMZM2G040493	0.507267034	no	no	no	NA	noCNV	0.157206537	0.157206537
GRMZM2G040508	0.000106601	no	no	yes	others	noCNV	NA	NA
GRMZM2G040509	0.85960106	no	no	no	NA	noCNV	NA	NA
GRMZM2G040511	0.118964408	no	no	no	NA	noCNV	0.031701084	0.031701084
GRMZM2G040513	0.598025555	no	no	no	NA	noCNV	0.357741998	0.357741998
GRMZM2G040515	0.000913215	no	no	no	UpOnDS	noCNV	0.004657622	0.004657622
GRMZM2G040517	0.543677565	no	no	no	NA	noCNV	0.036838134	0.036838134
GRMZM2G040548	0.694360804	no	no	no	NA	noCNV	NA	NA
GRMZM2G040559	0.29813564	no	no	no	NA	noCNV	0.316000781	0.316000781
GRMZM2G040561	0.169927268	no	no	no	NA	noCNV	0.053916177	0.053916177
GRMZM2G040587	0.529528164	no	no	no	NA	noCNV	0.075596443	0.075596443
GRMZM2G040605	0.489799556	no	no	no	NA	noCNV	0.020615433	0.020615433
GRMZM2G040613	0.000148085	no	no	no	UpOnDS	noCNV	0.18524965	0.18524965
GRMZM2G040618	0.196463716	no	no	no	NA	noCNV	0.065540248	0.065540248
GRMZM2G040627	0.822778582	no	no	no	NA	noCNV	0.021858063	0.021858063
GRMZM2G040634	0.901856869	no	no	no	NA	noCNV	0.038281181	0.038281181
GRMZM2G040638	0.015923187	no	no	no	others	noCNV	NA	NA
GRMZM2G040642	0.015695453	no	no	no	DownOnDS	noCNV	0.588282241	0.588282241
GRMZM2G040672	0.294796117	no	no	no	NA	noCNV	0.011115668	0.011115668
GRMZM2G040673	0.959756973	no	no	no	NA	noCNV	0.025999914	0.025999914
GRMZM2G040689	0.020526564	no	yes	no	others	noCNV	0.006036645	0.006036645
GRMZM2G040692	0.000618633	no	no	no	UpOnDS	noCNV	0.030289542	0.030289542
GRMZM2G040706	0.977702054	no	no	no	NA	noCNV	NA	NA
GRMZM2G040720	0.170116409	no	no	no	NA	noCNV	0.564588852	0.18524965
GRMZM2G040728	0.15456807	no	no	no	NA	noCNV	0.065842484	0.053916177
GRMZM2G040736	2.15E-06	no	no	yes	others	noCNV	0.007217991	0.007217991
GRMZM2G040743	0.001006622	no	no	no	DownOnDS	noCNV	0.004851312	0.004851312
GRMZM2G040750	0.998784252	no	no	no	NA	noCNV	0.027254525	0.027254525
GRMZM2G040762	0.525560531	no	no	no	NA	noCNV	0.21127973	0.21127973
GRMZM2G040803	0.10604851	no	no	no	NA	noCNV	0.010750178	0.010750178
GRMZM2G040821	0.636321034	no	no	no	NA	DownCNV/PAV	NA	0.835606055
GRMZM2G040828	0.43198306	no	no	no	NA	noCNV	0.065059096	0.065059096
GRMZM2G040838	0.002114234	no	no	no	UpOnDS	noCNV	0.248003107	0.248003107
GRMZM2G040840	0.237439506	no	no	no	NA	noCNV	0.161125486	0.03440979
GRMZM2G040843	0.178724215	no	no	no	NA	noCNV	0.101053304	0.101053304
GRMZM2G040876	0.84331189	no	no	no	NA	noCNV	0.064962941	0.064962941
GRMZM2G040878	0.412308653	no	no	no	NA	DownCNV/PAV	0.034267377	0.034267377
GRMZM2G040881	0.116532369	no	no	no	NA	noCNV	NA	NA
GRMZM2G040887	0.981478835	no	no	no	NA	noCNV	0.126252597	0.126252597
GRMZM2G040890	0.001755552	no	yes	no	UpOnDS	noCNV	0.036616661	0.036616661
GRMZM2G040902	0.45437531	no	no	no	NA	noCNV	0.04577149	0.010750178
GRMZM2G040905	0.12919472	no	no	no	NA	DownCNV/PAV	NA	NA
GRMZM2G040911	0.357123172	no	no	no	NA	noCNV	0.186242479	0.186242479
GRMZM2G040917	0.883396345	no	no	no	NA	DownCNV/PAV	NA	NA
GRMZM2G040920	3.11E-05	no	no	no	others	noCNV	0.005641633	0.005641633
GRMZM2G040924	0.763926373	no	no	no	NA	noCNV	0.083242713	0.083242713
GRMZM2G040933	0.136945654	no	no	no	NA	noCNV	0.053963732	0.053963732
GRMZM2G040945	0.685646257	no	no	no	NA	noCNV	0.066391422	0.043570174
GRMZM2G040947	0.85997852	no	no	no	NA	noCNV	0.036369334	0.036369334
GRMZM2G040954	0.627209102	no	no	no	NA	noCNV	0.142074485	0.142074485
GRMZM2G040964	6.85E-12	no	no	no	DownOnDS	noCNV	0.001718733	0.001718733
GRMZM2G040965	0.011060617	no	yes	no	DownOnDS	noCNV	0.018167096	0.018167096
GRMZM2G040968	0.733959214	no	no	no	NA	noCNV	0.031664389	0.031664389
GRMZM2G040970	0.876546595	no	no	no	NA	noCNV	0.024709446	0.024709446
GRMZM2G040975	0.012292963	no	no	no	UpOnDS	noCNV	0.294885614	0.294885614
GRMZM2G040991	0.465409279	no	no	no	NA	noCNV	0.003820323	0.003820323
GRMZM2G040995	0.094803262	no	no	no	NA	noCNV	0.091247148	0.091247148
GRMZM2G041015	0.827486395	no	no	no	NA	noCNV	0.00033783	0.00033783
GRMZM2G041022	4.26E-06	no	yes	yes	others	noCNV	0.238831923	0.238831923
GRMZM2G041028	0.003960595	no	no	no	DownOnDS	noCNV	0.5794517	0.057423522
