GeneID	Chromosome	Chromosome start	Type of variation	cor
GRMZM2G121070	chr2	7623142	DownCNV/PAV	0.885469404
GRMZM2G180870	chr2	7700989	DownCNV/PAV	0.889737934
GRMZM2G168985	chr2	7800189	DownCNV/PAV	0.84028993
GRMZM2G454511	chr2	7898449	DownCNV/PAV	0.805757579
GRMZM2G106342	chr2	8031406	UpCNV	
GRMZM2G407032	chr2	8070693	UpCNV	0.793672075
GRMZM2G329222	chr2	8094074	UpCNV	0.777927915
GRMZM2G702918	chr2	8109052	UpCNV	
AC196954.2_FG011	chr2	8123515	DownCNV/PAV	
AC196954.2_FG012	chr2	8126190	DownCNV/PAV	0.818485584
GRMZM2G157532	chr2	8142957	UpCNV	
GRMZM2G161630	chr2	8160421	UpCNV	
GRMZM2G362778	chr2	8353177	DownCNV/PAV	0.828269868
GRMZM2G362789	chr2	8354078	DownCNV/PAV	
GRMZM2G302712	chr2	8766630	DownCNV/PAV	0.90617032
GRMZM2G148998	chr2	8904683	DownCNV/PAV	0.717747297
GRMZM2G300497	chr2	8955118	DownCNV/PAV	
GRMZM2G000044	chr2	8964775	DownCNV/PAV	0.898986836
GRMZM2G383122	chr2	9080045	DownCNV/PAV	0.91527879
GRMZM2G343713	chr2	9456253	UpCNV	
GRMZM2G702923	chr2	9569433	DownCNV/PAV	0.676640341
GRMZM2G031536	chr2	9872990	DownCNV/PAV	0.888941599
GRMZM2G007256	chr2	9950953	DownCNV/PAV	0.845595579
GRMZM2G007030	chr2	9955817	DownCNV/PAV	
GRMZM2G005107	chr2	10282364	DownCNV/PAV	0.910530884
GRMZM2G306374	chr2	10298521	DownCNV/PAV	0.924315058
AC215994.3_FG003	chr2	10303031	DownCNV/PAV	0.535712603
GRMZM2G429762	chr2	10334261	DownCNV/PAV	0.53140495
GRMZM2G345700	chr2	10452328	DownCNV/PAV	0.831705118
GRMZM2G093526	chr2	10468692	DownCNV/PAV	0.927842746
AC215678.3_FG008	chr2	10651861	DownCNV/PAV	0.786022864
GRMZM2G416045	chr2	10758825	DownCNV/PAV	0.439008009
GRMZM2G040917	chr2	11266350	DownCNV/PAV	0.652449037
GRMZM2G040878	chr2	11268791	DownCNV/PAV	0.891270583
GRMZM2G401339	chr2	11480340	DownCNV/PAV	0.781302202
GRMZM2G091118	chr2	11724761	DownCNV/PAV	0.883476025
GRMZM2G702932	chr2	11888644	DownCNV/PAV	0.832946013
GRMZM2G176225	chr2	12501146	UpCNV	0.862201434
GRMZM2G180190	chr2	12542467	DownCNV/PAV	0.91441693
GRMZM2G463280	chr2	12798372	DownCNV/PAV	0.88397181
GRMZM2G463267	chr2	12800694	DownCNV/PAV	0.907233563
GRMZM2G162266	chr2	12802993	DownCNV/PAV	0.920516498
GRMZM2G162230	chr2	12822628	DownCNV/PAV	0.91707151
GRMZM2G361049	chr2	12911225	DownCNV/PAV	0.697386817
GRMZM2G039776	chr2	13002045	DownCNV/PAV	0.79131958
GRMZM2G025720	chr2	13155010	DownCNV/PAV	0.697028526
GRMZM2G038714	chr2	13202932	DownCNV/PAV	0.772796132
GRMZM2G702942	chr2	13568515	UpCNV	
GRMZM2G146847	chr2	14391641	DownCNV/PAV	0.853726235
GRMZM2G421279	chr2	14683583	DownCNV/PAV	0.889425342
GRMZM2G120717	chr2	14684509	DownCNV/PAV	0.720689852
GRMZM2G076844	chr2	14727167	DownCNV/PAV	0.877681898
GRMZM2G303118	chr2	14751201	DownCNV/PAV	0.890032226
AC191961.3_FG009	chr2	14799956	DownCNV/PAV	0.690753103
GRMZM2G129386	chr2	14815295	DownCNV/PAV	0.688825049
GRMZM2G430500	chr2	14820000	DownCNV/PAV	0.784508319
GRMZM2G050216	chr2	15061059	DownCNV/PAV	0.885066227
GRMZM2G038851	chr2	15173841	DownCNV/PAV	0.901583189
GRMZM2G341089	chr2	15197765	DownCNV/PAV	0.817958231
GRMZM2G702945	chr2	15284249	DownCNV/PAV	0.632667565
GRMZM2G702948	chr2	15406664	DownCNV/PAV	0.705721988
GRMZM2G164428	chr2	15828878	DownCNV/PAV	0.889679532
GRMZM2G161913	chr2	16375220	UpCNV	0.888385452
GRMZM2G322819	chr2	17782259	DownCNV/PAV	0.885735948
GRMZM2G175504	chr2	18063470	DownCNV/PAV	0.870311535
GRMZM2G162333	chr2	19184414	DownCNV/PAV	0.902537453
GRMZM2G129300	chr2	19633649	DownCNV/PAV	
GRMZM2G129298	chr2	19641179	DownCNV/PAV	0.537172818
GRMZM2G028969	chr2	20015608	DownCNV/PAV	0.894416863
GRMZM2G325513	chr2	20022448	DownCNV/PAV	0.875716692
GRMZM2G105137	chr2	20041667	DownCNV/PAV	0.901047358
GRMZM2G139463	chr2	20115117	DownCNV/PAV	0.81496865
GRMZM2G429035	chr2	20282158	DownCNV/PAV	0.905311998
GRMZM2G044884	chr2	20313640	UpCNV	0.65708403
GRMZM2G026050	chr2	20449368	DownCNV/PAV	0.899281411
GRMZM2G020826	chr2	21196291	DownCNV/PAV	0.920054106
GRMZM2G545802	chr2	22119180	DownCNV/PAV	0.757696034
GRMZM2G429254	chr2	22532185	DownCNV/PAV	0.681758167
GRMZM2G026656	chr2	23692367	DownCNV/PAV	0.917997681
GRMZM2G702968	chr2	24696349	DownCNV/PAV	
GRMZM2G108077	chr2	24810999	DownCNV/PAV	0.862866591
GRMZM2G029475	chr2	24937238	UpCNV	0.782032087
GRMZM2G331027	chr2	24939281	UpCNV	0.836598555
GRMZM2G438841	chr2	26388792	DownCNV/PAV	0.885438504
GRMZM2G145045	chr2	28117579	DownCNV/PAV	0.668951804
GRMZM2G145051	chr2	28121057	DownCNV/PAV	0.531642203
GRMZM2G145059	chr2	28132118	Both	
GRMZM2G145075	chr2	28157347	DownCNV/PAV	0.854933674
GRMZM2G145095	chr2	28165575	DownCNV/PAV	0.732055482
GRMZM2G145109	chr2	28197542	DownCNV/PAV	0.783140975
GRMZM2G356805	chr2	28716241	DownCNV/PAV	
GRMZM2G141667	chr2	29097872	UpCNV	0.807224969
GRMZM2G382747	chr2	29835276	DownCNV/PAV	0.852163794
GRMZM2G082646	chr2	30452638	UpCNV	0.720062262
GRMZM2G051952	chr2	30736419	DownCNV/PAV	0.889416136
GRMZM2G333408	chr2	30951029	DownCNV/PAV	0.640618002
GRMZM2G170152	chr2	31428333	DownCNV/PAV	0.870103396
GRMZM2G083253	chr2	32098071	DownCNV/PAV	0.92908217
GRMZM2G178365	chr2	32906503	DownCNV/PAV	
GRMZM2G702999	chr2	32968542	DownCNV/PAV	
GRMZM2G051943	chr2	34000061	DownCNV/PAV	0.875084556
AC195320.3_FG003	chr2	34248088	DownCNV/PAV	
GRMZM2G477632	chr2	34418003	DownCNV/PAV	0.643642094
GRMZM2G703006	chr2	35215029	DownCNV/PAV	
GRMZM2G703008	chr2	36106612	DownCNV/PAV	0.819201913
GRMZM2G022413	chr2	37412478	DownCNV/PAV	0.83506473
GRMZM2G311756	chr2	37553338	DownCNV/PAV	0.455935574
GRMZM2G323309	chr2	38054859	DownCNV/PAV	0.92145863
GRMZM2G326631	chr2	39498134	DownCNV/PAV	0.67520307
GRMZM2G027571	chr2	39885570	DownCNV/PAV	0.878615294
GRMZM2G060712	chr2	40360561	DownCNV/PAV	0.861553779
GRMZM2G327295	chr2	40474348	DownCNV/PAV	0.758226869
GRMZM2G022699	chr2	40476621	DownCNV/PAV	0.830770968
GRMZM2G107003	chr2	41057740	DownCNV/PAV	0.802635288
GRMZM2G408963	chr2	41141254	DownCNV/PAV	0.846744823
GRMZM2G446185	chr2	42942119	DownCNV/PAV	0.654214085
GRMZM2G479117	chr2	43249856	DownCNV/PAV	
GRMZM2G148147	chr2	43465619	DownCNV/PAV	0.530600329
GRMZM2G071704	chr2	43669888	DownCNV/PAV	0.831033804
GRMZM2G325139	chr2	44211415	DownCNV/PAV	0.882570077
GRMZM2G471039	chr2	44632111	UpCNV	
GRMZM2G126062	chr2	45238478	DownCNV/PAV	0.849571942
GRMZM2G103050	chr2	45371069	DownCNV/PAV	0.617795165
GRMZM2G331614	chr2	46411690	DownCNV/PAV	
GRMZM2G106099	chr2	46932629	DownCNV/PAV	0.673561989
GRMZM2G106108	chr2	46934251	DownCNV/PAV	0.698332328
AC209704.3_FG003	chr2	48274009	DownCNV/PAV	0.690934856
GRMZM2G136023	chr2	49773196	DownCNV/PAV	0.874791539
GRMZM2G159481	chr2	51159870	DownCNV/PAV	0.563429991
GRMZM2G402645	chr2	52580361	DownCNV/PAV	0.643868522
GRMZM2G014905	chr2	53163097	DownCNV/PAV	
GRMZM2G148198	chr2	54467116	DownCNV/PAV	0.886449985
GRMZM2G447984	chr2	54472210	DownCNV/PAV	0.832967249
AC233967.1_FG003	chr2	54573138	DownCNV/PAV	
GRMZM2G168651	chr2	54752210	DownCNV/PAV	0.746181496
GRMZM2G079298	chr2	54946149	DownCNV/PAV	0.424217187
GRMZM2G136364	chr2	55651713	DownCNV/PAV	0.844045826
GRMZM2G055279	chr2	55749787	DownCNV/PAV	0.767063983
GRMZM2G181326	chr2	57042415	DownCNV/PAV	
AC195141.3_FG002	chr2	57331342	DownCNV/PAV	
AC191050.3_FG003	chr2	57601922	DownCNV/PAV	0.688122953
GRMZM2G703055	chr2	58365720	DownCNV/PAV	
AC190858.3_FG005	chr2	58598843	DownCNV/PAV	0.610165319
GRMZM2G102160	chr2	58895576	DownCNV/PAV	0.8263569
GRMZM2G091169	chr2	59168037	DownCNV/PAV	0.821204154
GRMZM2G077145	chr2	59335982	DownCNV/PAV	
GRMZM2G176384	chr2	59384087	DownCNV/PAV	
GRMZM2G389097	chr2	59683371	DownCNV/PAV	0.694745289
GRMZM2G023946	chr2	59945491	DownCNV/PAV	0.931195041
GRMZM2G085260	chr2	60290394	DownCNV/PAV	0.899760255
GRMZM2G038604	chr2	61899866	UpCNV	0.774127209
GRMZM2G342254	chr2	64295886	DownCNV/PAV	0.623797503
GRMZM2G090566	chr2	65120271	DownCNV/PAV	0.646638719
GRMZM2G138398	chr2	65341292	DownCNV/PAV	0.651565495
GRMZM2G154045	chr2	66291960	UpCNV	0.849989361
GRMZM2G358365	chr2	66914786	DownCNV/PAV	0.898114867
GRMZM2G477837	chr2	67759144	DownCNV/PAV	0.784542103
GRMZM2G111715	chr2	67820945	DownCNV/PAV	0.897789047
GRMZM2G055854	chr2	68084224	Both	0.769505994
GRMZM2G703071	chr2	70196892	Both	0.487922014
GRMZM2G703080	chr2	72361803	DownCNV/PAV	0.894579708
GRMZM2G162721	chr2	74606362	DownCNV/PAV	0.839316485
GRMZM2G309188	chr2	75719588	DownCNV/PAV	
GRMZM2G037955	chr2	77706335	UpCNV	0.879302363
GRMZM2G173833	chr2	77771882	UpCNV	0.914481011
GRMZM2G085194	chr2	82425919	DownCNV/PAV	
GRMZM2G703099	chr2	84319147	DownCNV/PAV	0.446053975
AC212447.3_FG001	chr2	87138255	UpCNV	0.856965027
GRMZM2G091313	chr2	89154991	DownCNV/PAV	0.895575062
GRMZM2G171830	chr2	93131490	DownCNV/PAV	0.903693624
GRMZM2G703108	chr2	93426731	DownCNV/PAV	0.323711723
GRMZM2G450496	chr2	93477314	DownCNV/PAV	0.429864397
GRMZM2G085243	chr2	93707615	DownCNV/PAV	0.751480119
GRMZM2G703109	chr2	93729519	DownCNV/PAV	0.546678553
GRMZM2G325898	chr2	94434470	DownCNV/PAV	
GRMZM2G455290	chr2	94451101	DownCNV/PAV	
GRMZM2G426506	chr2	94464019	DownCNV/PAV	
GRMZM2G008864	chr2	94543705	DownCNV/PAV	
GRMZM2G105233	chr2	97898149	DownCNV/PAV	0.489494027
GRMZM2G173023	chr2	97927042	DownCNV/PAV	0.844862944
GRMZM2G142834	chr2	99095769	DownCNV/PAV	0.765627337
GRMZM2G303995	chr2	99754254	DownCNV/PAV	0.912643553
GRMZM2G463227	chr2	101267190	DownCNV/PAV	0.835496597
GRMZM2G154156	chr2	103397336	UpCNV	0.700249871
GRMZM2G023028	chr2	103483577	DownCNV/PAV	0.729207555
GRMZM2G325762	chr2	103493279	DownCNV/PAV	
GRMZM2G022710	chr2	103498759	DownCNV/PAV	0.618750837
GRMZM2G029141	chr2	103619803	DownCNV/PAV	0.878745996
GRMZM2G025132	chr2	103806187	DownCNV/PAV	0.708198934
GRMZM2G400704	chr2	104688817	UpCNV	0.81776012
GRMZM2G433927	chr2	106512210	UpCNV	0.723695694
GRMZM2G120132	chr2	106573367	DownCNV/PAV	0.780612813
GRMZM2G060067	chr2	107874802	DownCNV/PAV	0.857487317
GRMZM2G703142	chr2	108030208	DownCNV/PAV	0.851686864
GRMZM2G073829	chr2	108491752	DownCNV/PAV	0.677860336
GRMZM2G076474	chr2	109694138	DownCNV/PAV	0.615191379
GRMZM2G108871	chr2	109767052	DownCNV/PAV	0.682721104
GRMZM2G159977	chr2	109911018	DownCNV/PAV	0.687824394
GRMZM2G059207	chr2	112678315	DownCNV/PAV	0.860125121
GRMZM2G071758	chr2	113271694	DownCNV/PAV	0.730407376
GRMZM2G071744	chr2	113294106	DownCNV/PAV	0.753841633
GRMZM2G466743	chr2	117547281	DownCNV/PAV	0.504694709
AC235540.1_FG001	chr2	117656720	DownCNV/PAV	0.633348165
GRMZM2G111909	chr2	118117248	DownCNV/PAV	0.441828945
GRMZM2G703158	chr2	118978882	DownCNV/PAV	0.443323515
GRMZM2G063271	chr2	121356629	UpCNV	
GRMZM2G082714	chr2	124446924	DownCNV/PAV	0.854726455
GRMZM2G117858	chr2	126598439	DownCNV/PAV	
GRMZM2G020183	chr2	127136072	DownCNV/PAV	0.778647895
AC216705.3_FG002	chr2	127773134	DownCNV/PAV	0.917479429
GRMZM2G066700	chr2	129066024	Both	0.620218106
GRMZM2G406030	chr2	130183116	DownCNV/PAV	
GRMZM2G003755	chr2	131383662	DownCNV/PAV	0.82254843
GRMZM2G473915	chr2	131614787	DownCNV/PAV	0.848380549
GRMZM2G133669	chr2	133382523	DownCNV/PAV	0.814151842
GRMZM2G352947	chr2	133670496	DownCNV/PAV	0.763490091
GRMZM2G307553	chr2	135283019	DownCNV/PAV	0.751808289
GRMZM2G458035	chr2	137870051	DownCNV/PAV	0.644450081
GRMZM2G355679	chr2	138080051	DownCNV/PAV	0.647738015
GRMZM2G122038	chr2	138388539	DownCNV/PAV	0.894466519
GRMZM2G014150	chr2	139375071	DownCNV/PAV	0.880142677
GRMZM2G703183	chr2	139748383	DownCNV/PAV	
GRMZM2G481210	chr2	139782082	UpCNV	0.806663145
GRMZM2G168829	chr2	140083572	DownCNV/PAV	0.916154418
GRMZM2G703187	chr2	140436152	DownCNV/PAV	
GRMZM2G055973	chr2	141291184	DownCNV/PAV	0.864516691
GRMZM2G119105	chr2	141880217	UpCNV	
GRMZM2G316322	chr2	141934522	UpCNV	
GRMZM2G035599	chr2	142093486	DownCNV/PAV	0.855375864
GRMZM2G703190	chr2	142208416	DownCNV/PAV	0.608523633
GRMZM2G430607	chr2	142259037	DownCNV/PAV	0.566580999
GRMZM2G067553	chr2	143795147	DownCNV/PAV	0.654160503
GRMZM2G130486	chr2	143825788	DownCNV/PAV	0.579974069
GRMZM2G703196	chr2	144054841	UpCNV	
GRMZM2G115566	chr2	144864616	Both	0.282958398
GRMZM2G107469	chr2	145009415	DownCNV/PAV	
GRMZM2G147443	chr2	146085723	DownCNV/PAV	
GRMZM2G039969	chr2	146131587	DownCNV/PAV	0.834897099
GRMZM2G350795	chr2	147584905	DownCNV/PAV	
GRMZM2G703201	chr2	148444695	DownCNV/PAV	0.751384784
GRMZM2G090531	chr2	149880204	UpCNV	0.710193579
GRMZM2G151162	chr2	150075534	DownCNV/PAV	
GRMZM2G151164	chr2	150080908	DownCNV/PAV	
GRMZM2G399740	chr2	150099986	DownCNV/PAV	0.697294044
GRMZM2G140372	chr2	150436623	UpCNV	
GRMZM2G164440	chr2	153541304	DownCNV/PAV	0.789087638
GRMZM2G164704	chr2	153560956	DownCNV/PAV	0.714241764
GRMZM2G703214	chr2	153762406	DownCNV/PAV	
GRMZM2G412706	chr2	154540473	DownCNV/PAV	
GRMZM2G050150	chr2	158449050	DownCNV/PAV	0.887360291
GRMZM2G703236	chr2	161938520	DownCNV/PAV	0.761483829
GRMZM2G087444	chr2	162207343	DownCNV/PAV	0.607984728
GRMZM2G367867	chr2	163456693	UpCNV	
GRMZM2G018855	chr2	163707707	DownCNV/PAV	
GRMZM2G018813	chr2	163711258	DownCNV/PAV	0.630026132
GRMZM2G087724	chr2	163771455	DownCNV/PAV	
GRMZM2G041369	chr2	163919854	DownCNV/PAV	0.439493777
GRMZM2G042677	chr2	163967273	DownCNV/PAV	0.578511546
GRMZM2G070761	chr2	164015172	DownCNV/PAV	0.667417156
GRMZM2G070785	chr2	164025969	DownCNV/PAV	
GRMZM2G044472	chr2	164155500	DownCNV/PAV	0.840362454
GRMZM2G151644	chr2	164318028	DownCNV/PAV	0.690872998
GRMZM2G548817	chr2	165482234	DownCNV/PAV	0.742001675
GRMZM2G703245	chr2	165536770	DownCNV/PAV	0.633549174
GRMZM2G092125	chr2	165681180	DownCNV/PAV	0.898329746
GRMZM2G004408	chr2	165924176	DownCNV/PAV	0.912382455
GRMZM2G137550	chr2	166273181	DownCNV/PAV	0.828110889
GRMZM2G333478	chr2	166494010	DownCNV/PAV	0.873887085
GRMZM2G703247	chr2	166673214	UpCNV	0.704312896
GRMZM2G025159	chr2	166783296	DownCNV/PAV	0.684922964
GRMZM2G301553	chr2	166855356	DownCNV/PAV	0.763466003
GRMZM2G173911	chr2	167157918	DownCNV/PAV	
GRMZM2G475257	chr2	167163419	DownCNV/PAV	
GRMZM2G047905	chr2	167269320	DownCNV/PAV	
GRMZM2G346757	chr2	167274821	DownCNV/PAV	
GRMZM2G354385	chr2	167857156	DownCNV/PAV	0.618341299
GRMZM2G474623	chr2	169206723	UpCNV	
GRMZM2G474534	chr2	169222183	UpCNV	0.779861718
GRMZM2G368436	chr2	169584461	DownCNV/PAV	0.501222973
GRMZM2G412281	chr2	169607095	DownCNV/PAV	0.84755707
AC177860.4_FG002	chr2	170382828	DownCNV/PAV	0.610323868
GRMZM2G047404	chr2	170409764	DownCNV/PAV	0.915349917
GRMZM2G047632	chr2	170447601	DownCNV/PAV	0.855243718
GRMZM2G703250	chr2	170694662	DownCNV/PAV	
GRMZM2G530608	chr2	171053492	DownCNV/PAV	0.636351339
GRMZM2G108698	chr2	171540412	DownCNV/PAV	0.506011418
GRMZM2G163418	chr2	172887998	DownCNV/PAV	0.859365196
GRMZM2G113633	chr2	173488269	DownCNV/PAV	0.695686619
GRMZM2G703260	chr2	173593346	DownCNV/PAV	0.517808153
GRMZM2G703261	chr2	173979882	DownCNV/PAV	0.38999643
GRMZM2G161846	chr2	174113935	DownCNV/PAV	0.860388002
GRMZM2G140078	chr2	174377284	DownCNV/PAV	0.828879917
GRMZM2G462924	chr2	174517380	DownCNV/PAV	0.836007174
GRMZM2G340935	chr2	174836974	DownCNV/PAV	0.546025308
GRMZM2G416216	chr2	174990882	DownCNV/PAV	0.857293756
GRMZM2G306328	chr2	175194069	DownCNV/PAV	0.877117755
GRMZM2G027393	chr2	175212995	DownCNV/PAV	0.528750431
GRMZM2G425965	chr2	175482636	DownCNV/PAV	0.793240875
GRMZM2G101600	chr2	175591469	DownCNV/PAV	0.74620544
GRMZM2G703265	chr2	175894417	DownCNV/PAV	0.502271423
AC195825.3_FG001	chr2	176152346	DownCNV/PAV	0.321246042
GRMZM2G376540	chr2	176309377	DownCNV/PAV	0.680905158
GRMZM2G475536	chr2	177268319	DownCNV/PAV	0.821682159
GRMZM2G036547	chr2	177668344	DownCNV/PAV	0.666988282
GRMZM2G061184	chr2	179362653	DownCNV/PAV	0.922164226
GRMZM2G341405	chr2	179610139	DownCNV/PAV	0.614182525
GRMZM2G148333	chr2	180655587	DownCNV/PAV	0.840500593
GRMZM2G703274	chr2	180680961	DownCNV/PAV	
GRMZM2G703275	chr2	180681674	DownCNV/PAV	
GRMZM2G444393	chr2	181127769	DownCNV/PAV	0.52041189
GRMZM2G091588	chr2	181239584	DownCNV/PAV	0.871904595
GRMZM2G114332	chr2	182039310	DownCNV/PAV	0.712131914
GRMZM2G134351	chr2	182561366	DownCNV/PAV	0.882454636
GRMZM2G323473	chr2	183907404	DownCNV/PAV	
GRMZM2G323504	chr2	183907407	DownCNV/PAV	0.887387657
GRMZM2G470280	chr2	183996472	DownCNV/PAV	0.724203623
GRMZM2G444446	chr2	184001683	UpCNV	
GRMZM2G075996	chr2	184492561	DownCNV/PAV	0.850843203
GRMZM2G389285	chr2	184718195	DownCNV/PAV	0.874796883
GRMZM2G009344	chr2	184763569	DownCNV/PAV	0.885839836
GRMZM2G703290	chr2	184971097	DownCNV/PAV	0.830105949
GRMZM2G703292	chr2	184980180	DownCNV/PAV	0.824915081
GRMZM2G137541	chr2	185491122	DownCNV/PAV	0.883098729
GRMZM2G080390	chr2	186529169	DownCNV/PAV	0.514841805
GRMZM2G081017	chr2	186567722	DownCNV/PAV	0.857511614
AC204539.4_FG001	chr2	186609223	DownCNV/PAV	
AC204539.4_FG003	chr2	186628146	UpCNV	0.770247441
GRMZM2G474367	chr2	186717171	UpCNV	0.704366473
GRMZM2G159896	chr2	187126594	DownCNV/PAV	0.633894184
GRMZM2G150356	chr2	188065425	UpCNV	0.62841901
GRMZM2G042738	chr2	188765633	UpCNV	0.527340776
AC210724.2_FG007	chr2	189035718	UpCNV	0.870525613
GRMZM2G171561	chr2	190751176	DownCNV/PAV	0.686034272
GRMZM2G022212	chr2	190893702	DownCNV/PAV	0.838327913
GRMZM2G170253	chr2	190920977	DownCNV/PAV	0.828469183
GRMZM2G350658	chr2	193163622	UpCNV	
GRMZM2G703313	chr2	193313168	DownCNV/PAV	
GRMZM2G343360	chr2	194111257	DownCNV/PAV	0.812932641
GRMZM2G156451	chr2	194189689	DownCNV/PAV	0.717280526
GRMZM2G156470	chr2	194190876	DownCNV/PAV	0.889067333
GRMZM2G153586	chr2	195507256	DownCNV/PAV	0.908601151
GRMZM2G703322	chr2	196265571	DownCNV/PAV	0.582495639
GRMZM2G703324	chr2	196548853	DownCNV/PAV	
GRMZM2G013101	chr2	196594011	UpCNV	
GRMZM2G563726	chr2	196667818	DownCNV/PAV	0.907392204
GRMZM2G410644	chr2	196954370	DownCNV/PAV	0.780640552
GRMZM2G117572	chr2	197157059	DownCNV/PAV	0.814337819
GRMZM2G385635	chr2	197204227	UpCNV	
GRMZM2G385622	chr2	197206450	UpCNV	
GRMZM2G076796	chr2	198689370	DownCNV/PAV	0.65980094
GRMZM2G064655	chr2	199517572	DownCNV/PAV	0.89067318
GRMZM2G064759	chr2	199522714	DownCNV/PAV	0.88156876
GRMZM2G587376	chr2	200039762	DownCNV/PAV	
GRMZM2G026532	chr2	200621421	DownCNV/PAV	0.890174785
GRMZM2G703338	chr2	201120019	DownCNV/PAV	0.642468707
GRMZM2G046011	chr2	201417362	DownCNV/PAV	0.771794487
GRMZM2G117988	chr2	202778221	DownCNV/PAV	0.502105697
GRMZM2G000640	chr2	202907339	DownCNV/PAV	0.690063751
GRMZM2G703348	chr2	204325128	DownCNV/PAV	0.731076668
GRMZM2G403800	chr2	205191663	DownCNV/PAV	0.878248715
GRMZM2G003937	chr2	205289011	DownCNV/PAV	0.901363949
GRMZM2G307604	chr2	205643058	UpCNV	0.696592611
GRMZM2G455889	chr2	205821045	DownCNV/PAV	0.786434852
GRMZM2G007324	chr2	206055951	DownCNV/PAV	0.878132674
GRMZM2G077845	chr2	206084452	DownCNV/PAV	
GRMZM2G703354	chr2	206527550	DownCNV/PAV	0.901855644
GRMZM2G102138	chr2	206601273	DownCNV/PAV	0.66892102
GRMZM2G437050	chr2	207361539	DownCNV/PAV	
GRMZM2G180950	chr2	207381400	DownCNV/PAV	0.841501623
GRMZM2G119241	chr2	207432660	DownCNV/PAV	
GRMZM2G401809	chr2	207970366	UpCNV	
GRMZM2G064941	chr2	209616965	DownCNV/PAV	
GRMZM2G471745	chr2	209631163	DownCNV/PAV	
GRMZM2G147196	chr2	209651339	DownCNV/PAV	
GRMZM2G141551	chr2	209764982	DownCNV/PAV	0.898603565
GRMZM2G102903	chr2	210074502	DownCNV/PAV	0.721947497
GRMZM2G075244	chr2	210156183	DownCNV/PAV	0.801807512
GRMZM2G354072	chr2	210319361	DownCNV/PAV	0.773792431
GRMZM2G053863	chr2	210319797	DownCNV/PAV	
GRMZM2G053833	chr2	210335403	DownCNV/PAV	0.635580007
GRMZM2G092862	chr2	210349923	DownCNV/PAV	0.613912209
GRMZM2G035063	chr2	210675967	DownCNV/PAV	0.930236433
GRMZM2G125460	chr2	210695650	DownCNV/PAV	0.534869113
GRMZM2G367777	chr2	211016830	DownCNV/PAV	
GRMZM2G040175	chr2	211047199	DownCNV/PAV	0.872211219
GRMZM2G327686	chr2	211655721	DownCNV/PAV	0.887428279
GRMZM2G327635	chr2	212389146	DownCNV/PAV	0.924929684
GRMZM2G429081	chr2	212509472	DownCNV/PAV	
GRMZM2G422212	chr2	213132616	DownCNV/PAV	0.803187047
GRMZM2G001247	chr2	213647655	DownCNV/PAV	0.869547861
GRMZM2G003409	chr2	214325077	DownCNV/PAV	0.87772187
GRMZM2G453845	chr2	215326520	UpCNV	0.872940301
GRMZM2G103881	chr2	215403477	DownCNV/PAV	
GRMZM2G080968	chr2	215863384	DownCNV/PAV	
GRMZM2G590899	chr2	216096790	DownCNV/PAV	
GRMZM2G175861	chr2	216495426	DownCNV/PAV	0.713241274
GRMZM2G171818	chr2	217625316	DownCNV/PAV	0.894046921
GRMZM2G033937	chr2	217964516	DownCNV/PAV	0.828751035
GRMZM2G449669	chr2	218405906	DownCNV/PAV	
GRMZM2G116701	chr2	218686588	DownCNV/PAV	
GRMZM2G044438	chr2	218970037	DownCNV/PAV	
GRMZM2G319947	chr2	219603434	DownCNV/PAV	0.82672891
GRMZM2G410975	chr2	219761195	DownCNV/PAV	0.895358426
GRMZM2G110894	chr2	219768875	DownCNV/PAV	0.880190672
GRMZM2G027130	chr2	220758978	DownCNV/PAV	0.859673826
GRMZM2G166776	chr2	221039281	DownCNV/PAV	0.895729024
GRMZM2G358619	chr2	221360313	DownCNV/PAV	0.641704681
GRMZM2G037993	chr2	221437988	DownCNV/PAV	0.843124034
GRMZM2G107922	chr2	221869911	DownCNV/PAV	0.751784846
GRMZM2G066546	chr2	221962990	DownCNV/PAV	
GRMZM2G068011	chr2	222481625	DownCNV/PAV	0.855213132
GRMZM2G372058	chr2	222756693	DownCNV/PAV	0.832487096
GRMZM2G313110	chr2	223152126	DownCNV/PAV	0.585786355
GRMZM2G318393	chr2	223996645	DownCNV/PAV	
AC196106.2_FG001	chr2	224147229	DownCNV/PAV	0.784386948
GRMZM2G081377	chr2	224277472	DownCNV/PAV	0.775651997
GRMZM2G439788	chr2	224574862	UpCNV	
GRMZM2G094939	chr2	225063047	DownCNV/PAV	0.728773576
GRMZM2G428659	chr2	225226027	DownCNV/PAV	0.68272792
GRMZM2G128376	chr2	225241197	DownCNV/PAV	0.707217645
GRMZM2G078013	chr2	225962318	DownCNV/PAV	0.878790372
GRMZM2G145626	chr2	225987438	DownCNV/PAV	
GRMZM2G703412	chr2	226243649	DownCNV/PAV	
GRMZM2G034271	chr2	226256875	UpCNV	0.741416066
GRMZM2G333448	chr2	226259338	UpCNV	0.774006207
GRMZM2G003708	chr2	226366239	DownCNV/PAV	0.772082537
GRMZM2G301213	chr2	226675940	DownCNV/PAV	
GRMZM2G001401	chr2	226681090	DownCNV/PAV	0.639932155
GRMZM2G379219	chr2	226959064	DownCNV/PAV	0.905359229
GRMZM2G011303	chr2	226983854	UpCNV	
GRMZM2G038492	chr2	227054521	UpCNV	0.882752761
AC217814.2_FG019	chr2	227160870	UpCNV	
